"CAM","Common Access Method",""
"CAM","Computer Aided Manufacturing / Content Adressable Memory",""
"CAMAC","Computer Automated MeAsurement Control",""
"CAN","Cancel",""
"CAN","Controller Area Network",""
"CAO","Computer Aided Office",""
"CAP","Computer Aided Planning / Computer Aided Publishing",""
"CAP","CPU Access Port",""
"CAPP","Computer Aided Production Planning",""
"CAPPC","Computer Aided Production Planning and Control",""
"CAPSC","Computer Aided Production Scheduling and Control",""
"CAQ","Computer Aided Quality Assurance",""
"CAR","Computer Aided Roboting",""
"CAR","Computer Assisted Radiology",""
"CAS","Call Accounting Subsystem",""
"CAS","Computer Aided Selling",""
"CASE","Common Application Service Elements",""
"CASE","Computer Aided Software-Engineering",""
"CAT","Computer Aided Testing",""
"CATV","Cable Television",""
"CATV","Community Antenna Television",""
"CBDS","Connectionless Broadband Data Service",""
"CBEMA","Computer and Business Equipment Manufacturers Association",""
"CBR","Committed Burst Rate",""
"CBR","Constant Bit Rate",""
"CBT","Computer Based Training",""
"CCD","Charge-Coupled Device",""
"CCD","Contract Completion Data",""
"CCIR","International Radio Consultative Committee",""
"CCR","Committment Concurrency and Recovery",""
"CCR","Condition Code Register",""
"CCS","Common Communication Support",""
"CCTA","Central Computer and Telecommunications Agency",""
"CCU","Camera Control Unit",""
"CCU","Central Control Unit",""
"CCU","Communication Control Unit",""
"CCW","Channel Command Word",""
"CD","Carrier Detect",""
"CD","Collision Detection",""
"CD","Compact Disk",""
"CDB","Command Descriptor Block",""
"CDC","Century Date Change",""
"CDC","Clock Distribution Circuits",""
"CDDA","Compact Disk - Digital Audio",""
"CDDI","Copper Data Distribution Interface",""
"CDE","Common Desktop Environment",""
"CDG","Compact Disk - Graphic",""
"CDI","Compact Disk Interactive",""
"CDMA","Code Division Multiple Access",""
"CDPD","Cellular Digital Packet Data",""
"CDR","Common Data Rate",""
"CDR","Copy Density Range",""
"CDROM","Compact Disk ROM",""
"CDTV","Commodore Total Vision",""
"CDXA","Copmact Disk eXtended Architecture",""
"CEC","Commission of European Communities",""
"CELP","Code Excited Linear Prediction",""
"CEO","Comprehensive Electronic Office",""
"CF","Call Forwarding",""
"CF","Carry Flag",""
"CF","Control Function",""
"CFV","Call For Votes",""
"CGA","Colour Graphics Adapter",""
"CGI","Common Gateway Interface",""
"CGI","Computer Graphics Interface",""
"CGM","Computer Graphics Metafile",""
"CHAP","Challenge-Handshake Authentication Protocol",""
"CHL-I","ChanneL Interface",""
"CHPID","Channel Path Identifier",""
"CI","Computer Interconnect",""
"CI","Control Interval",""
"CIAM","Computer Integrated and Automated Manufacturing",""
"CIB","Computer Integrated Business",""
"CICS","Customer Information Control System",""
"CID","Configuration Installation and Distribution",""
"CIF","Cells In Frames",""
"CIF","Common Image Format",""
"CIF","Common Intermediate Format",""
"CIF","Computer Integrated Factory = CIO + CIM",""
"CIM","Computer Input by Microfilm",""
"CIM","Computer Integrated Manufacturing",""
"CIO","Computer Integrated Office",""
"CIR","Committed Information Rate",""
"CIS","Card Information Structure",""
"CISC","Complex (Complete) Instruction Set Computer",""
"CIT","Computer Integrated Telephony",""
"CIV","Conversation Verb Interface",""
"CKD","Count Key Data",""
"CL","Compatibility List",""
"CL","Connectionless",""
"CL","Control Language",""
"CL","Control Logic",""
"CL","Core Image Library",""
"CLI","Call Level Interface",""
"CLIM","Compaq/Lotus/Intel/Microsoft",""
"CLNS","Connectionless Network Service",""
"CM/2","Communication Manager / 2",""
"CMC","Communication Management Configuration",""
"CMEA","Council for Mutual Economic Assistance",""
"CMIP","Common Management Information Protocol",""
"CMIS","Common Management Information Service",""
"CMOS","Cellular Management Operation System",""
"CMOS","Complimentary Metal Oxide Semiconductor",""
"CMOT","Common Management Information Protocol","Over TCP/IP"
"CMR","Communications Resource Manager",""
"CMS","Conversational Monitor System",""
"CN","Corporate Network",""
"CNC","Computerized Numerical Control",""
"CNLP","Connectionless Network Protocol",""
"CNM","Communication Network Management",""
"CNMA","Communication Network for Manufacturing Applications",""
"CNR","Carrier-to-Noise-Ratio",""
"COBOL","COmmon Business Oriented Language",""
"COCOM","Coordinating Comittee on Multilateral Export Controls",""
"CODASYL","Conference on Data Systems Languages",""
"Codec","Coder/Decoder",""
"COFF","Common Object File Format",""
"COM","Common Object Model",""
"COM","Component Object Model",""
"COM","Computer Output on Microfilm",""
"COMAL","Common Algorithmic Language",""
"COMREG","Communication Region",""
"CONS","Connection-Oriented Network Service",""
"CORBA","Common Object Request Broker Architecture",""
"COS","Corporation for Open Systems",""
"COSE","Common Open Software Environment",""
"COSINE","Cooperation for OSI Networking in Europe",""
"COSS","Cross Operating System Service",""
"CP","Control Program",""
"CP/M","Control Program/Monitor (for Microcomputer)",""
"CPE","Central Processing Element",""
"CPE","Customer Premises Equipment",""
"CPI","Call Party Indication",""
"CPI","Characters Per Inch",""
"CPI","Common Programming Interface",""
"CPI","Computer to PABX Interface",""
"CPIC","Common Programming Interface for Communications",""
"CPL","Current Privilege Level",""
"CPR","Computerized Patient Record",""
"CPS","Call Processing Subsystem",""
"CPS","Characters Per Second",""
"CP-SVR","Control Point to Server",""
"CPU","Central Processing Unit",""
"CR","Card Reader",""
"CR","Carriage Return",""
"CR","Communication Region",""
"CRC","Cyclic Redundancy Check",""
"CRJE","Conversational Remote Job Entry",""
"CRS","Computer Reservation System",""
"CRS","Configuration Report Server",""
"CRT","Cathode Ray Tube",""
"CS","Chip Select (Logic Signal)",""
"CS","Communications Server",""
"CSA","Common System Area",""
"CSC","Cross System Consistency",""
"CSDN","Circuit Switched Data Network",""
"CSECT","Control Section",""
"CSI","Consolidated Software Inventory",""
"CSLIP","Compressed Serial Line IP",""
"CSLIP","Compressed SLIP",""
"CSMA/CA","Carrier Sense Multiple Access with Collision Avoidance",""
"CSMA/CD","Carrier Sense Multiple Access with Collision Detection",""
"CSP","Control Sequence Prefix",""
"CSP","Cross System Product",""
"CSPDN","Circuit Switched Public Data Network",""
"CST","Computer Supported Telephony",""
"CSU","Channel Service Unit",""
"CSU","Concentration Sending Unit",""
"CSU/DSU","Channel Service Unit / Data Service Unit",""
"CT","Continuous Tone",""
"CT2T","Continuous Tone To Tape",""
"CTC","Channel To Channel",""
"CTC","Customer Technical Contact",""
"CTS","Clear To Send",""
"CTS","Conformance Test System",""
"CTS-WAN","Conformance Testing Services for WAN",""
"CU","Control Unit",""
"CUA","Common User Access",""
"CUT","Control Unit Terminal",""
"CVOL","Control VOLume",""
"CWS","Coalition for Working Systems",""
"D/A","Digital/Analog",""
"DA","Desk Accessory",""
"DAC","Digital Analog Converter",""
"DAC","Digital to Analogue Converter",""
"DAC","Dual Attachment Concentrator",""
"DAI","Distributed Artificial Intelligence",""
"DAM","Direct Access Method",""
"DAP","Directory Access Protocol",""
"DAP","Document Application Profile",""
"DARPA","Defense Advanced Research Projects Agency",""
"DAS","Dual Attachment Station",""
"DASD","Direct Access Storage Device",""
"DAT","Digital Audio Tape",""
"DAT","Dynamic Address Translation",""
"DB","Database",""
"DBCS","Double Byte Character Set",""
"DBMS","DataBase Management System",""
"DBRT","Directed Beam Refresh Terminal",""
"DC","Data Cartridge",""
"DC","Data Communication",""
"DC","Don't Care",""
"DCA","Document Content Architecture",""
"DCAF","Distributed Console Access Facility",""
"DCB","Data Control Block",""
"DCB","Disk Coprocessor Board",""
"DCC","Diskette Controller Chip",""
"DCE","Data Circuit terminating Equipment",""
"DCE","Data Communications Equipment",""
"DCE","Direct Communications Equipment",""
"DCE","Distributed Computing Environment",""
"DCI","Display Control Interface",""
"DCL","Digital Command Language",""
"DCS","Desktop Color Separation",""
"DCS","Direct Carrier System",""
"DCS","Direct Collecting Subsystem",""
"DCT","Destination Control Table",""
"DCT","Discrete Cosine Transform",""
"DD","Data Definition",""
"DD","Double Density",""
"DDCMP","Digital Data Communications Message Protocol",""
"DDCS","Distributed Database Connecion Services/2",""
"DDE","Dynamic Data Exchange",""
"DDES","Digital Data Exchange Specifications",""
"DDI","Device Driver Interface",""
"DDK","Driver Development Kit",""
"DDL","Data Definition Language",""
"DDL","Document Description Language",""
"DDM","Distributed Data Management",""
"DDN","Defense Data Network",""
"DDP","Datagram-Delivery Protocol",""
"DDP","Distributed Data Processing",""
"DDRM","Device driver Reference Manual",""
"DDS","Dataphone Digital Service",""
"DDS","Decision Support System",""
"DDS","Digital Data Service",""
"DDS","Direct Digital Synthesis",""
"DECT","Digital European Cordless Telephone",""
"DECUS","Digital Equipment Computer Users Society",""
"DEL","Delete",""
"DES","Data Encryption Standard",""
"DF","Direction Flag",""
"DFC","Distributed Coordination Function",""
"DFDSS","Data Facility Data Set Services",""
"DFHSM","Data Facility Hierarchical Storage Manager",""
"DFP","Data Facility Product",""
"DFR","Document Filing and Retrival",""
"DFS","Distributed File System",""
"DFSMS","Data Facility Storage Management Subsystem",""
"DFSORT","Data Facility Sort",""
"DFT","Discrete Fourier Transform",""
"DFT","Distributed Function Terminal",""
"DFWMAC","Distributed Foundation Wireless Media Access Control",""
"DHCP","Dynamic Host Configuration Protocol",""
"DIA","Document Interchange Architecture",""
"DIB","Data Input Bus",""
"DIB","Device Independent Bitmap",""
"DIFS","Distributed coordination function InterFrame Space",""
"DIMM","Dual Inline Memory Module",""
"DIP","Dual Inline Package",""
"DIP","Dual Inline Pin",""
"DIS","Draft International Standard",""
"DISSOS","Distributed Office Support System",""
"DIT","Directory Information Tree",""
"DKI","Driver Kernel Interface",""
"DL","Data Length",""
"DL","Description Language",""
"DL","Diode Logic",""
"DL","Directory Listing",""
"DL","Document List",""
"DL/1","Data Language 1",""
"DLBL","Disk Label",""
"DLCI","Data Linc Connection Identifier",""
"DLE","Data Link Escape",""
"DLE","Digital Local Exchange",""
"DLL","Dynamic Link Library",""
"DLS","Device Level Selection",""
"DLSE","Device Level Selection Enhanced",""
"DLSw","Data Link Switching",""
"DLUR","Dependent LU Requester",""
"DLUR/S","Dependent LU Requester / Server",""
"DLUS","Dependent LU Server",""
"DMA","Direct Memory Access",""
"DMCI","Direct Memory Communications Interface",""
"DMD","Directory Management Domain",""
"DMI","Desktop Management Interface",""
"DMI","Digital Multiplexed Interface",""
"DML","Data(base) Manipulation Language",""
"DMNL","Direct Multi Network Link",""
"DMP","Dot Matrix Printer",""
"DN","Directory Number",""
"DN","Distinguished Name",""
"DNA","Digital Network Architecture",""
"DNS","Domain Name Service",""
"DOC","Display Operator Console",""
"DOC","Document",""
"DOE","Distributed Objects Everywhere",""
"DOMF","Distributed Object Management Facility",""
"DOS","Declaration Of Support",""
"DOS","Disk Operating System",""
"DOS/VS","Disk Operating System / Virtual Storage",""
"DOS/VSE","Disk Operating System / Virtual Storage Extended",""
"DP","Data Processing",""
"DP","Draft Proposal",""
"DPA","Document Printing Application",""
"DPF","Data Private Facility",""
"DPI","Dots Per Inch",""
"DPL","Descriptor Privilege Level",""
"DPMS","Display Power Management Signaling",""
"DPS","Dynamic Path Selection",""
"DQDB","Distributed Queue Dual Bus",""
"DRAM","Dynamic Random Access Memory",""
"DRQ","Data ReQuest",""
"DS","Digit Select",""
"DS","Directory System",""
"DS","Double Sided",""
"DSA","Directory System Agent",""
"DSA","Distributed Systems Architecture",""
"DSA","Dynamic Storage Area",""
"DSF","Device Support Facility",""
"DSL","Digital Subscriber Line",""
"DSL","Direct Swift Link",""
"DSN","DataSetName",""
"DSN","Delivery Service Notification",""
"DSN","Distributed Systems Network",""
"DSNL","Direct Swift Network Link",""
"DSOM","Distributed System Object Model",""
"DSP","Digital Signal Processor",""
"DSP","Directory System Protocol",""
"DSP","Down Stream Provider",""
"DSP","Dye Sublimation Printing",""
"DSR","Data Set Ready",""
"DSSI","Digital Storage Systems Interconnect",""
"DSU","Data Service Unit",""
"DTAM","Document Transfer Access and Manipulation",""
"DTD","Document Type Definition",""
"DTE","Data Terminal Equipment",""
"DTI","Department of Trade and Industry (UK)",""
"DTP","DeskTop Publishing",""
"DTR","Data Terminal Ready",""
"DU","Data Unit",""
"DUA","Directory User Agent",""
"DUN","Dial-Up Networking",""
"DUN","Dispatch Unit Number",""
"DVI","Digital Video Interface",""
"DVST","Direct View Bistable Storage",""
"DXI","Data eXchange Interface",""
"EARN","European Academic and Research Network",""
"EB","Error Bell",""
"EBAM","Electronic Beam-Addressable Memory",""
"EBCD","Extended Binary Coded Decimal",""
"EBCDIC","Extended Binary Coded Decimal Interchange Code",""
"ECC","Error Checking and Correction",""
"ECC","Error Correction Code",""
"ECE","Economic Commission for Europe",""
"ECF","Enhanced Connectivity Facility",""
"ECITC","European Committee fo IT Testing and Certification",""
"ECKD","Extended Count-Key Data",""
"ECMA","European Computer Manufacturers Association",""
"ECTUA","European Counsil for Telecommunications Users Association",""
"EDC","Enterprise Database Connectivity",""
"EDC","Error Detection and Correction",""
"EDF","Execution Diagnostic Facility",""
"EDG","Electronic Dot Generation",""
"EDI","Electronic Data Interchange",""
"EDICON","EDI Community for the Construction Industry (UK)",""
"EDIF","Electronic Design Interchange Format",""
"EDIFACT","Electronic Data Interchange For Admin Commerce and Transport",""
"EDIM","Electronic Data Interchange Message",""
"EDIMS","EDI Messaging System",""
"EDM","Engineering Data Management",""
"EDP","Electronic Data Processing",""
"EDR","Early Device Release",""
"EEMA","European Electronic Mail Association",""
"EFT","Electronic Funds Transfer",""
"EGA","Enhanced Graphics Adapter",""
"EGP","Exterior Gateway Protocol",""
"EHLLAPI","Emulator High Level Language Applications Programming Interface",""
"EIB","Execute Interface Block",""
"EIP","Execute Interface Program",""
"EISA","Enhanced Industry Standard Architecture",""
"EISA","Extended Industry Standard Architecture",""
"EIT","Encoding Information Type",""
"EIUF","European ISDN User Forum",""
"ELAN","Emulated LAN",""
"ELAN","European LAN",""
"ELAN","Extended LAN",""
"EM","End of Medium",""
"EMA","Enterprise Management Architecture",""
"EMS","Expanded Memory Specification",""
"EMUG","European MAP Users Group",""
"EN","Equipment Number",""
"EN","European Norme",""
"ENE","Enterprise Network Event",""
"ENP","Enable Presentation",""
"ENQ","Enquiry",""
"EO","Eight Ones",""
"EO","Erasable Optical",""
"EOB","End of Block",""
"EOC","End Of Conversion",""
"EOC","End of Cylinder",""
"EOF","End of File",""
"EOJ","End of Job",""
"EOP","End of Procedure",""
"EOT","End Of Text",""
"EOT","End of Transmission",""
"EOV","End of Volume",""
"EP","Emulation Program",""
"EPDE","Electronic Product Data Exchange",""
"EPOW","Emergency Power Off Warning",""
"EPROM","Eraseable Programable Read Only Memory",""
"EPS","Encapsulated PostScript",""
"EPSF","Encapsulated PostScript Format",""
"ER","Entity Relationship",""
"ERDS","Error Recording Data Set",""
"EREP","Environmental Record Editing and Printing program",""
"ES","Errored Second",""
"ES","Expert System",""
"ESA","Extended Service Area",""
"ESC","Escape",""
"ESCON","Enterprise System Connection Architecture",""
"ESD","Electronic Software Distribution",""
"ESD","ElectroStatic Discharge",""
"ESD","Equipped Shelf Data",""
"ESD","External Symbol Dictionary",""
"ESDI","Enhanced Small Device Interface",""
"ESDS","Entry Sequenced Data Set",""
"ESF","Extended SuperFrame",""
"ESPRIT","European Strategic Programme for Research and development in Information Technology",""
"ESQA","Extended System Queue Area",""
"ETB","End of Transmission Block",""
"ETCOM","European Testing and Certification for Office and Manufacturing protocols",""
"ETS","European Telecommunication Standard",""
"ETSI","European Telecommunication Standards Institute",""
"ETX","End of Text",""
"EUnet","European Unix Network",""
"EUUG","European Unix User Group",""
"EVI","EVent Information",""
"EWOS","European Workshop for Open Systems",""
"EXCP","EXecute Channel Program",""
"EZ","Excessive Zeros",""
"F/STP","Foil STP",""
"FA","Foreign Agent",""
"FAQ","Frequently Asked Questions",""
"FAST","Federation Against Software Theft",""
"FAT","File Access Table",""
"FAT","File Allocation Table",""
"FBA","Fix Block Architecture",""
"FBA","Fixed Blocked ANSI-defined printer control characters",""
"FBM","Fix Block Modus",""
"FC","File Control",""
"FCB","Format Control Buffer",""
"FCP","File Control Program",""
"FCS","Frame-Check Sequence",""
"FCT","File Control Table",""
"FDD","Fixed Disk Drive",""
"FDD","Floppy Disk Drive",""
"FDDI","Fibre Distributed Data Interface",""
"FEAL","Fast Data Encipherment Algorithm",""
"FEP","Front-End Processor",""
"FF","Flip Flop (Electronic Circuit)",""
"FF","Formfeed",""
"FH","Frame Handler",""
"FIFO","First In First Out",""
"FIPS","Federal Information Processing Standard",""
"FLOPS","Floating-point operations per second",""
"FMLI","Forms and Menu Language Interpreter",""
"FOB","Form Overlay Buffer",""
"FOND","Font family descriptor",""
"FORTRAN","Formula Translator",""
"FPU","Floating Point Unit",""
"FRAD","Frame Relay Access Device",""
"FROM","Factory ROM",""
"FRU","Field Replaceable Unit",""
"FS","Field Separator",""
"FS","File Separator",""
"FSB","Front Side Bus",""
"FSF","Free Software Foundation",""
"FSK","Frequency Shift Keying",""
"FT","Fault Tolerant",""
"FTAM","File Transfer and Access Method",""
"FTP","File Transfer Protocol",""
"FTP","Foil Twisted Pair",""
"FTTC","Fibre To The Curb",""
"FTTH","Fibre To The Home",""
"FTTP","Fibre To The Building",""
"FUP","Funktionsplan",""
"GAL","Generic Array Logic",""
"GAL","Global Address List",""
"GATF","Graphic Arts Technical Foundation",""
"GB","GigaByte",""
"GCR","Group Coded Recording",""
"GDG","Generation Data Group",""
"GDS","Global Directory Service",""
"GDT","Global Descriptor Table",""
"GDTR","Global Descriptor Table Register",""
"GE","Graphic Escape",""
"GETVIS","GET VIrtual Storage",""
"GID","Group ID",""
"GIF","Graphics Interchange Format",""
"GIS","Generalized Information System",""
"GIX","Global Internet Exchange",""
"GKS","Graphical Kernel System",""
"GML","Generalized Markup Language",""
"GOSIP","Government OSI Profile",""
"GP","General Protection",""
"GP","General Purpose",""
"GPIB","General-Purpose Interface Bus",""
"GRS","Global Resource Serialization",""
"GS","Group Separator",""
"GTF","Generalized Trace Facility",""
"GUI","Graphical User Interface",""
"GUIP","Graphical User Interface for Blind people",""
"GUUG","German Unix User Group",""
"H&J","Hyphenation and Justification",""
"HA","Home Address",""
"HA","Host Agent",""
"HADA","High Availability Disk Array",""
"HCL","Hardware Compatibility List",""
"HCL","Hue, Chroma and Luminance",""
"HDA","Head-Disk Assembly",""
"HDBV","Host Data Base View",""
"HDLC","High Level Data Link Communications",""
"HDSL","High-bit rate Digital Subscriber Loop",""
"HDTV","High Definition TV",""
"HE","High End (system)",""
"HGC","Hercules Graphics Card",""
"HIC","Host Interface Computer",""
"HLL","High Level Language",""
"HLS","Hue-Lightness-Saturation",""
"HMD","Head-Mounted Display",""
"HMMP","HyperMedia Management Protocol",""
"HMMS","HyperMedia Management Schema",""
"HPCL","Hewlett-Packard Control Language",""
"HPFS","High Performance File System",""
"HPGL","Hewlett-Packard Graphical Language",""
"HPR","High Performance Routing",""
"HR","Horizontal Rule",""
"HSB","Hue-saturation-brightness",""
"HSELAN","High Speed ELAN",""
"HSI","Hue-Saturation-Intensity",""
"HSLAN","High Speed LAN",""
"HSSI","High Speed Serial Interface",""
"HSV","Hue-Saturation-Value",""
"HT","Horizontal Tab",""
"HTML","Hypertext Markup Language",""
"HTTP","Hypertext Transfer Protocol",""
"Hz","Hertz",""
"I/O","Input/Output",""
"I/O","Input/Output",""
"IA5","International Alphabet Five",""
"IAB","Internet Activities Board",""
"IC","Integrated Circuit",""
"ICEM","Integrated Computer Engineering and Manufacturing",""
"ICMP","Internet Control Message Protocol",""
"Icons","Mice and Pointers",""
"ID","Identifier",""
"IDA","Indirect Data Addressing",""
"IDA","Intelligent Drive Array",""
"IDE","Integrated Drive Electronics",""
"IDEA","International Data Encryption Algorithm",""
"IDL","Interfacce Definition Language",""
"IDT","Interrupt Descriptor Table",""
"IEC","InterExchange Carrier",""
"IEC","International Electrotechnical Commitee",""
"IEEE","Institute of Electrical and Electronic Engineers",""
"IETF","Internet Engineering Task Force",""
"IF","Intermediate Frequency",""
"IF","Interrupt Flag",""
"IFF","Interchange File Format",""
"IFIP","International Federation of Information Processing",""
"IFS","Interchange File Separator",""
"IFS","InterFrame Space",""
"IGES","Initial Graphics Exchange Specification",""
"IGMP","Internet Group Membership Protocol",""
"IGMP","Internet Group Multicast Protocol",""
"IGS","Interchange Group Separator",""
"II","Interactive Interface",""
"IISP","Interim Interswitch Signaling Protocol",""
"IKT","Informatione- und Kommunikationstechnik",""
"ILC","InterLanguage Communication",""
"IML","Initial Microcode Load",""
"IMPL","Initial Microprogram Load",""
"IMR","Interrupt Mask Registers",""
"IMS","Information Management System",""
"IMS/VS","Information Management System / Virtual Storage",""
"I-Net","Intranet",""
"INP","Inhibit Presentation",""
"INT","INTerrupt",""
"IOC","Input Output Controller",""
"IOC","ISDN Ordering Code",""
"IOCP","Input/Output Configuration Program",""
"IOCS","Input/Output Control System",""
"IOGEN","Input/Output device GENeration",""
"IOPL","Input/Output Privilege Level",""
"IOS","Input/Output Supervisor",""
"IP","Instruction Pointer",""
"IP","Internet Protocol",""
"IPL","Initial Program Load",""
"IPM","InterPersonal Message",""
"IPSE","Integrated Project Support Environment",""
"IPX","Internet Packet Exchange",""
"IR","Index Register",""
"IR","Index Return",""
"IR","Infra Red",""
"IR","Instruction Register",""
"IRC","Internet Relay Chat",""
"IRDS","Information Resource Dictionary System",""
"IRQ","Interrupt ReQuest",""
"IRS","Interchange Recors Separator",""
"IS","Information System",""
